Date,Time,Timezone,Open,High,Low,Close
2025-01-08,12:43:00,+05:30,23507.85,23509.7,23501.65,23509.7
2025-01-08,12:44:00,+05:30,23510.85,23533.25,23509.45,23533.25
2025-01-08,12:45:00,+05:30,23534.3,23540.9,23534.3,23539.8
2025-01-08,12:46:00,+05:30,23541.0,23544.75,23536.0,23536.45
2025-01-08,12:47:00,+05:30,23538.4,23538.8,23527.05,23528.6
2025-01-08,12:48:00,+05:30,23529.25,23529.25,23519.95,23524.7
2025-01-08,12:49:00,+05:30,23526.75,23527.45,23517.3,23519.7
2025-01-08,12:50:00,+05:30,23521.75,23525.65,23518.7,23521.75
2025-01-08,12:51:00,+05:30,23524.55,23526.25,23521.15,23526.25
2025-01-08,12:52:00,+05:30,23527.8,23535.0,23527.8,23530.9
2025-01-08,12:53:00,+05:30,23532.75,23533.15,23523.8,23526.25
2025-01-08,12:54:00,+05:30,23527.65,23538.25,23526.35,23535.45
2025-01-08,12:55:00,+05:30,23537.55,23537.55,23529.1,23533.15
2025-01-08,12:56:00,+05:30,23534.95,23538.65,23532.3,23534.95
2025-01-08,12:57:00,+05:30,23537.65,23539.75,23532.8,23539.3
2025-01-08,12:58:00,+05:30,23541.85,23554.55,23537.75,23554.55
2025-01-08,12:59:00,+05:30,23556.3,23556.6,23541.9,23546.25
2025-01-08,13:00:00,+05:30,23546.5,23547.8,23533.8,23534.85
2025-01-08,13:01:00,+05:30,23536.2,23536.55,23528.9,23532.2
2025-01-08,13:02:00,+05:30,23534.3,23534.65,23528.85,23532.3
2025-01-08,13:03:00,+05:30,23533.45,23533.8,23526.3,23528.8
2025-01-08,13:04:00,+05:30,23530.7,23534.3,23527.9,23532.4
2025-01-08,13:05:00,+05:30,23533.85,23536.05,23529.45,23535.05
2025-01-08,13:06:00,+05:30,23537.25,23538.45,23534.25,23537.95
2025-01-08,13:07:00,+05:30,23538.8,23539.75,23536.5,23539.1
2025-01-08,13:08:00,+05:30,23539.65,23540.75,23528.0,23530.45
2025-01-08,13:09:00,+05:30,23533.5,23544.9,23530.7,23544.9
2025-01-08,13:10:00,+05:30,23545.65,23550.85,23542.75,23544.45
2025-01-08,13:11:00,+05:30,23546.35,23546.35,23533.25,23536.5
2025-01-08,13:12:00,+05:30,23538.25,23544.3,23536.35,23542.15
2025-01-08,13:13:00,+05:30,23543.7,23544.75,23538.85,23544.45
2025-01-08,13:14:00,+05:30,23546.4,23549.4,23533.9,23535.65
2025-01-08,13:15:00,+05:30,23536.1,23537.15,23530.7,23531.05
2025-01-08,13:16:00,+05:30,23532.15,23532.95,23526.85,23529.2
2025-01-08,13:17:00,+05:30,23530.0,23530.4,23522.05,23526.35
2025-01-08,13:18:00,+05:30,23527.15,23529.65,23522.05,23527.45
2025-01-08,13:19:00,+05:30,23528.0,23542.0,23526.65,23540.9
2025-01-08,13:20:00,+05:30,23541.1,23565.7,23537.85,23555.45
2025-01-08,13:21:00,+05:30,23556.05,23556.2,23544.35,23546.8
2025-01-08,13:22:00,+05:30,23547.25,23560.95,23546.1,23560.1
2025-01-08,13:23:00,+05:30,23559.85,23563.8,23554.5,23557.95
2025-01-08,13:24:00,+05:30,23557.8,23567.25,23556.6,23564.1
2025-01-08,13:25:00,+05:30,23564.15,23571.85,23558.4,23564.0
2025-01-08,13:26:00,+05:30,23564.55,23577.05,23563.25,23577.05
2025-01-08,13:27:00,+05:30,23578.05,23581.05,23575.1,23580.5
2025-01-08,13:28:00,+05:30,23580.95,23584.0,23575.3,23577.95
2025-01-08,13:29:00,+05:30,23578.5,23578.5,23564.7,23566.5
2025-01-08,13:30:00,+05:30,23567.15,23579.95,23567.15,23577.95
2025-01-08,13:31:00,+05:30,23578.05,23598.4,23577.9,23593.5
2025-01-08,13:32:00,+05:30,23593.7,23595.9,23584.9,23586.8
2025-01-08,13:33:00,+05:30,23586.9,23588.95,23579.55,23584.45
2025-01-08,13:34:00,+05:30,23585.1,23588.0,23582.35,23584.6
2025-01-08,13:35:00,+05:30,23585.05,23592.1,23583.7,23591.45
2025-01-08,13:36:00,+05:30,23591.9,23593.25,23576.35,23576.55
2025-01-08,13:37:00,+05:30,23577.5,23579.15,23568.75,23571.95
2025-01-08,13:38:00,+05:30,23572.6,23574.7,23569.15,23574.45
2025-01-08,13:39:00,+05:30,23575.05,23575.7,23569.65,23570.95
2025-01-08,13:40:00,+05:30,23571.0,23577.3,23569.5,23576.75
2025-01-08,13:41:00,+05:30,23576.6,23578.5,23571.05,23575.55
2025-01-08,13:42:00,+05:30,23575.75,23578.0,23571.4,23574.8
2025-01-08,13:43:00,+05:30,23574.75,23612.5,23572.2,23612.5
2025-01-08,13:44:00,+05:30,23614.25,23636.75,23614.05,23629.5
2025-01-08,13:45:00,+05:30,23630.3,23650.85,23623.95,23646.2
2025-01-08,13:46:00,+05:30,23646.6,23655.15,23636.75,23642.4
2025-01-08,13:47:00,+05:30,23643.45,23643.45,23622.85,23627.4
2025-01-08,13:48:00,+05:30,23628.7,23642.55,23625.75,23642.55
2025-01-08,13:49:00,+05:30,23643.3,23645.3,23635.6,23638.8
2025-01-08,13:50:00,+05:30,23639.2,23640.7,23630.55,23637.85
2025-01-08,13:51:00,+05:30,23637.7,23663.4,23637.7,23661.9
2025-01-08,13:52:00,+05:30,23662.5,23664.15,23650.45,23652.7
2025-01-08,13:53:00,+05:30,23652.6,23658.05,23650.75,23654.75
2025-01-08,13:54:00,+05:30,23656.95,23672.05,23656.95,23671.35
2025-01-08,13:55:00,+05:30,23672.25,23672.25,23654.05,23658.35
2025-01-08,13:56:00,+05:30,23658.5,23659.95,23645.2,23652.95
2025-01-08,13:57:00,+05:30,23652.75,23658.8,23644.2,23649.15
2025-01-08,13:58:00,+05:30,23649.0,23656.4,23645.1,23654.05
2025-01-08,13:59:00,+05:30,23654.2,23668.6,23643.45,23666.3
2025-01-08,14:00:00,+05:30,23666.25,23666.25,23655.25,23657.1
2025-01-08,14:01:00,+05:30,23657.95,23658.9,23649.05,23658.15
2025-01-08,14:02:00,+05:30,23657.85,23674.65,23644.9,23646.85
2025-01-08,14:03:00,+05:30,23647.0,23648.05,23640.6,23645.9
2025-01-08,14:04:00,+05:30,23645.85,23645.85,23639.95,23642.5
2025-01-08,14:05:00,+05:30,23642.4,23648.8,23641.7,23644.85
2025-01-08,14:06:00,+05:30,23644.35,23652.35,23642.7,23650.1
2025-01-08,14:07:00,+05:30,23649.4,23664.25,23638.65,23661.65
